family,src,target,w,h,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
原材料 → 行业,chem,Hardw,3,1,0.1448,0.3389,-0.1168,0.0992,-1.4581,0.9563,False,False
原材料 → 行业,chem,Hardw,3,3,0.0323,0.1173,-0.4254,0.4316,-2.1412,1.5662,False,False
原材料 → 行业,chem,Hardw,3,6,0.0066,0.3971,-0.9088,0.3601,-2.7156,0.8468,False,False
原材料 → 行业,chem,Hardw,6,1,0.0477,0.6813,-0.0717,0.0238,-1.98,0.4107,False,False
原材料 → 行业,chem,Hardw,6,3,0.0112,0.514,-0.2492,0.1037,-2.5365,0.6526,False,False
原材料 → 行业,chem,Hardw,6,6,0.0012,0.7902,-0.5376,0.069,-3.2455,0.2661,True,False
原材料 → 行业,chem,Hlth,1,1,0.1192,0.8636,0.5782,0.0399,1.558,0.1718,False,False
原材料 → 行业,chem,Hlth,1,3,0.0319,0.8831,2.0338,-0.0658,2.1453,-0.1471,False,False
原材料 → 行业,chem,Hlth,1,6,0.0123,0.3757,4.4354,-0.7801,2.502,-0.8859,False,False
原材料 → 行业,chem,Hlth,3,1,0.0597,0.9195,0.2932,-0.009,1.8831,-0.101,False,False
原材料 → 行业,chem,Hlth,3,3,0.0234,0.7075,0.9454,-0.0883,2.2674,-0.3752,False,False
原材料 → 行业,chem,Hlth,3,6,0.0013,0.2688,2.0825,-0.5204,3.2164,-1.1058,True,False
原材料 → 行业,chem,Hlth,6,1,0.0263,0.4784,0.1918,-0.0412,2.2216,-0.7089,False,False
原材料 → 行业,chem,Hlth,6,3,0.0033,0.4042,0.5946,-0.149,2.9408,-0.8342,True,False
原材料 → 行业,chem,Hlth,6,6,0.0,0.3572,1.2453,-0.3052,4.1227,-0.9207,True,False
原材料 → 行业,chem,Hshld,1,1,0.1332,0.1607,-0.3657,0.2492,-1.5018,1.4028,False,False
原材料 → 行业,chem,Hshld,1,3,0.0028,0.1484,-1.3608,0.6857,-2.9871,1.4453,True,False
原材料 → 行业,chem,Hshld,1,6,0.0,0.086,-2.5668,1.4529,-4.3915,1.7169,True,False
原材料 → 行业,chem,Hshld,3,1,0.0338,0.1116,-0.1763,0.1558,-2.1226,1.591,False,False
原材料 → 行业,chem,Hshld,3,3,0.0011,0.1288,-0.5498,0.3752,-3.2512,1.5187,True,False
原材料 → 行业,chem,Hshld,3,6,0.0002,0.0874,-1.0375,0.6439,-3.7573,1.7094,True,False
原材料 → 行业,chem,Hshld,6,1,0.0045,0.0864,-0.0982,0.1062,-2.8412,1.7147,False,False
原材料 → 行业,chem,Hshld,6,3,0.0017,0.0741,-0.2884,0.2511,-3.1346,1.7863,True,False
原材料 → 行业,chem,Hshld,6,6,0.0009,0.1658,-0.531,0.301,-3.3345,1.3859,True,False
原材料 → 行业,chem,Insur,1,1,0.6673,0.2508,0.1229,0.2472,0.4299,1.1485,False,False
原材料 → 行业,chem,Insur,1,3,0.8266,0.3806,-0.1675,0.3816,-0.219,0.8767,False,False
原材料 → 行业,chem,Insur,1,6,0.8213,0.5199,0.2306,0.4001,0.2258,0.6435,False,False
原材料 → 行业,chem,Insur,3,1,0.951,0.5991,-0.0079,0.0418,-0.0615,0.5256,False,False
原材料 → 行业,chem,Insur,3,3,0.7771,0.6048,-0.0805,0.0999,-0.2832,0.5175,False,False
原材料 → 行业,chem,Insur,3,6,0.9404,0.7152,0.0304,0.1125,0.0747,0.3649,False,False
原材料 → 行业,chem,Insur,6,1,0.9536,0.4322,-0.0035,0.0365,-0.0582,0.7855,False,False
原材料 → 行业,chem,Insur,6,3,0.7919,0.5996,-0.0361,0.0579,-0.2639,0.5249,False,False
原材料 → 行业,chem,Insur,6,6,0.7367,0.7437,-0.0772,0.0715,-0.3363,0.327,False,False
原材料 → 行业,chem,LabEq,1,1,0.886,0.9484,-0.0335,-0.0146,-0.1434,-0.0647,False,False
原材料 → 行业,chem,LabEq,1,3,0.6334,0.7993,0.2984,0.0841,0.4769,0.2542,False,False
原材料 → 行业,chem,LabEq,1,6,0.5297,0.7801,0.6959,0.1437,0.6284,0.2792,False,False
原材料 → 行业,chem,LabEq,3,1,0.749,0.8779,0.0306,0.0116,0.3199,0.1536,False,False
原材料 → 行业,chem,LabEq,3,3,0.7009,0.4924,0.1042,0.106,0.3841,0.6865,False,False
原材料 → 行业,chem,LabEq,3,6,0.4559,0.6577,0.319,0.1166,0.7456,0.4431,False,False
原材料 → 行业,chem,LabEq,6,1,0.6873,0.9104,0.0226,-0.0046,0.4026,-0.1125,False,False
原材料 → 行业,chem,LabEq,6,3,0.5766,0.6946,0.0772,0.0399,0.5583,0.3926,False,False
原材料 → 行业,chem,LabEq,6,6,0.3245,0.716,0.1845,0.072,0.9852,0.3638,False,False
原材料 → 行业,chem,Mach,1,1,0.283,0.3015,0.1638,-0.2062,1.0735,-1.0333,False,False
原材料 → 行业,chem,Mach,1,3,0.3039,0.0677,0.3939,-0.7685,1.0281,-1.8273,False,False
原材料 → 行业,chem,Mach,1,6,0.1815,0.0265,0.8076,-1.6354,1.3362,-2.2188,False,False
