family,src,target,w,h,half,slope,t,n,p,sign
成本,06,ガラス・土石製品,1,6,H2,-0.0516,-0.61588,114,0.53798,-1
成本,06,ガラス・土石製品,3,1,H1,-0.03484,-2.91375,119,0.00357,-1
成本,06,ガラス・土石製品,3,1,H2,-0.01603,-1.10247,119,0.27026,-1
成本,06,ガラス・土石製品,3,3,H1,-0.0873,-3.7296,119,0.00019,-1
成本,06,ガラス・土石製品,3,3,H2,-0.03808,-1.27904,117,0.20088,-1
成本,06,ガラス・土石製品,3,6,H1,-0.08532,-2.20244,119,0.02763,-1
成本,06,ガラス・土石製品,3,6,H2,-0.00884,-0.1993,114,0.84203,-1
成本,06,ガラス・土石製品,6,1,H1,-0.01941,-2.68632,119,0.00722,-1
成本,06,ガラス・土石製品,6,1,H2,-0.00811,-1.06713,119,0.28591,-1
成本,06,ガラス・土石製品,6,3,H1,-0.03715,-1.97509,119,0.04826,-1
成本,06,ガラス・土石製品,6,3,H2,-0.00873,-0.48838,117,0.62528,-1
成本,06,ガラス・土石製品,6,6,H1,-0.02334,-0.70512,119,0.48073,-1
成本,06,ガラス・土石製品,6,6,H2,-0.01606,-0.47569,114,0.63429,-1
成本,20,ガラス・土石製品,1,1,H1,-0.09443,-0.32233,119,0.7472,-1
成本,20,ガラス・土石製品,1,1,H2,-0.13344,-0.37333,119,0.7089,-1
成本,20,ガラス・土石製品,1,3,H1,-0.9544,-2.56434,119,0.01034,-1
成本,20,ガラス・土石製品,1,3,H2,-0.61635,-1.10645,117,0.26853,-1
成本,20,ガラス・土石製品,1,6,H1,-1.51355,-2.81179,119,0.00493,-1
成本,20,ガラス・土石製品,1,6,H2,-0.35576,-0.42532,114,0.6706,-1
成本,20,ガラス・土石製品,3,1,H1,-0.16599,-1.84516,119,0.06501,-1
成本,20,ガラス・土石製品,3,1,H2,-0.12997,-1.12488,119,0.26064,-1
成本,20,ガラス・土石製品,3,3,H1,-0.4702,-2.54675,119,0.01087,-1
成本,20,ガラス・土石製品,3,3,H2,-0.2382,-1.00388,117,0.31544,-1
成本,20,ガラス・土石製品,3,6,H1,-0.39533,-1.29183,119,0.19642,-1
成本,20,ガラス・土石製品,3,6,H2,-0.0674,-0.17698,114,0.85952,-1
成本,20,ガラス・土石製品,6,1,H1,-0.06463,-1.29264,119,0.19614,-1
成本,20,ガラス・土石製品,6,1,H2,-0.09157,-1.37709,119,0.16848,-1
成本,20,ガラス・土石製品,6,3,H1,-0.08428,-0.64938,119,0.51609,-1
成本,20,ガラス・土石製品,6,3,H2,-0.12986,-0.82042,117,0.41198,-1
成本,20,ガラス・土石製品,6,6,H1,-0.04517,-0.19529,119,0.84517,-1
成本,20,ガラス・土石製品,6,6,H2,-0.24177,-0.90775,114,0.36401,-1
成本,21,ガラス・土石製品,1,1,H1,-0.07494,-1.36122,119,0.17345,-1
成本,21,ガラス・土石製品,1,1,H2,0.01928,0.29848,119,0.76533,-1
成本,21,ガラス・土石製品,1,3,H1,-0.29903,-3.82489,119,0.00013,-1
成本,21,ガラス・土石製品,1,3,H2,-0.17306,-1.64762,117,0.09943,-1
成本,21,ガラス・土石製品,1,6,H1,-0.42468,-3.70045,119,0.00022,-1
成本,21,ガラス・土石製品,1,6,H2,-0.08579,-0.65726,114,0.51101,-1
成本,21,ガラス・土石製品,3,1,H1,-0.04766,-2.81548,119,0.00487,-1
成本,21,ガラス・土石製品,3,1,H2,-0.02668,-1.04262,119,0.29712,-1
成本,21,ガラス・土石製品,3,3,H1,-0.14182,-4.27833,119,2e-05,-1
成本,21,ガラス・土石製品,3,3,H2,-0.11083,-1.58651,117,0.11262,-1
成本,21,ガラス・土石製品,3,6,H1,-0.11355,-2.05071,119,0.0403,-1
成本,21,ガラス・土石製品,3,6,H2,0.0069,0.09824,114,0.92174,-1
成本,21,ガラス・土石製品,6,1,H1,-0.02961,-2.90224,119,0.00371,-1
成本,21,ガラス・土石製品,6,1,H2,-0.01652,-0.85969,119,0.38996,-1
成本,21,ガラス・土石製品,6,3,H1,-0.04931,-1.8594,119,0.06297,-1
成本,21,ガラス・土石製品,6,3,H2,-0.01365,-0.27982,117,0.77962,-1
成本,21,ガラス・土石製品,6,6,H1,-0.01444,-0.34083,119,0.73323,-1
成本,21,ガラス・土石製品,6,6,H2,0.01658,0.23143,114,0.81698,-1
成本,16,ガラス・土石製品,1,1,H1,-0.19343,-0.42599,119,0.67012,-1
成本,16,ガラス・土石製品,1,1,H2,0.01967,0.05506,119,0.95609,-1
成本,16,ガラス・土石製品,1,3,H1,-0.99987,-0.82819,119,0.40756,-1
成本,16,ガラス・土石製品,1,3,H2,-0.03081,-0.03577,117,0.97147,-1
成本,16,ガラス・土石製品,1,6,H1,-1.79384,-1.05568,119,0.29111,-1
成本,16,ガラス・土石製品,1,6,H2,0.26875,0.21909,114,0.82658,-1
