family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
外部需求 → 日本,jp_exp,T2,1,1,0,0.0273,0.7166,0.2565,-0.0445,2.2075,-0.363,False,False
外部需求 → 日本,jp_exp,T2,1,1,3,0.5073,0.314,0.0862,-0.0935,0.6631,-1.0068,False,False
外部需求 → 日本,jp_exp,T2,1,1,6,0.8002,0.6,-0.0243,0.0672,-0.2531,0.5244,False,False
外部需求 → 日本,jp_exp,T2,1,3,0,0.0655,0.2248,0.6366,-0.248,1.8418,-1.2138,False,False
外部需求 → 日本,jp_exp,T2,1,3,3,0.9753,0.2806,-0.0069,-0.1761,-0.031,-1.0789,False,False
外部需求 → 日本,jp_exp,T2,1,3,6,0.4748,0.7387,0.1959,0.0818,0.7147,0.3336,False,False
外部需求 → 日本,jp_exp,T2,1,6,0,0.2358,0.1664,0.6555,-0.3711,1.1855,-1.3839,False,False
外部需求 → 日本,jp_exp,T2,1,6,3,0.4728,0.7361,0.2001,-0.1071,0.718,-0.337,False,False
外部需求 → 日本,jp_exp,T2,1,6,6,0.1448,0.9005,0.6111,-0.0489,1.4581,-0.1251,False,False
外部需求 → 日本,jp_exp,T2,3,1,0,0.0076,0.2983,0.1641,-0.0871,2.671,-1.0401,False,False
外部需求 → 日本,jp_exp,T2,3,1,3,0.9829,0.2011,-0.0011,-0.0581,-0.0214,-1.2786,False,False
外部需求 → 日本,jp_exp,T2,3,1,6,0.6073,0.6863,0.037,0.0292,0.514,0.4039,False,False
外部需求 → 日本,jp_exp,T2,3,3,0,0.0633,0.032,0.3399,-0.3305,1.8574,-2.1444,False,False
外部需求 → 日本,jp_exp,T2,3,3,3,0.4594,0.6416,-0.0808,-0.0687,-0.7398,-0.4655,False,False
外部需求 → 日本,jp_exp,T2,3,3,6,0.2489,0.8789,0.2373,0.0274,1.1531,0.1523,False,False
外部需求 → 日本,jp_exp,T2,3,6,0,0.2096,0.0936,0.2779,-0.3664,1.2547,-1.6766,False,False
外部需求 → 日本,jp_exp,T2,3,6,3,0.5436,0.8905,0.1642,-0.0374,0.6074,-0.1377,False,False
外部需求 → 日本,jp_exp,T2,3,6,6,0.1345,0.8576,0.3757,-0.049,1.4965,-0.1794,False,False
外部需求 → 日本,jp_exp,T2,6,1,0,0.1017,0.0561,0.0709,-0.088,1.6369,-1.9103,False,False
外部需求 → 日本,jp_exp,T2,6,1,3,0.6955,0.6087,0.015,-0.0202,0.3913,-0.5119,False,False
外部需求 → 日本,jp_exp,T2,6,1,6,0.3446,0.9661,0.0464,0.0026,0.9451,0.0425,False,False
外部需求 → 日本,jp_exp,T2,6,3,0,0.2866,0.0053,0.1207,-0.235,1.0657,-2.7898,False,False
外部需求 → 日本,jp_exp,T2,6,3,3,0.6395,0.8547,0.0574,-0.0221,0.4685,-0.1832,False,False
外部需求 → 日本,jp_exp,T2,6,3,6,0.2002,0.8822,0.1502,-0.0219,1.2811,-0.1481,False,False
外部需求 → 日本,jp_exp,T2,6,6,0,0.1992,0.1728,0.1894,-0.2362,1.2838,-1.3634,False,False
外部需求 → 日本,jp_exp,T2,6,6,3,0.3452,0.8151,0.2116,-0.0532,0.9439,-0.2338,False,False
外部需求 → 日本,jp_exp,T2,6,6,6,0.5381,0.4469,0.0765,0.135,0.6156,0.7605,False,False
外部需求 → 日本,jp_exp,T3,1,1,0,0.002,0.0067,-0.2719,0.477,-3.0963,2.7131,True,False
外部需求 → 日本,jp_exp,T3,1,1,3,0.6634,0.0125,-0.0444,-0.3542,-0.4352,-2.4972,False,False
外部需求 → 日本,jp_exp,T3,1,1,6,0.71,0.4446,-0.0302,-0.1172,-0.3719,-0.7644,False,False
外部需求 → 日本,jp_exp,T3,1,3,0,0.2974,0.0009,-0.2443,0.8884,-1.0421,3.3196,False,False
外部需求 → 日本,jp_exp,T3,1,3,3,0.3633,0.0094,0.1747,-0.6057,0.909,-2.5956,False,False
外部需求 → 日本,jp_exp,T3,1,3,6,0.3205,0.2827,-0.1608,-0.2664,-0.9935,-1.0743,False,False
外部需求 → 日本,jp_exp,T3,1,6,0,0.8999,0.6163,-0.0426,0.1518,-0.1258,0.5011,False,False
外部需求 → 日本,jp_exp,T3,1,6,3,0.7705,0.0005,0.0396,-0.8448,0.2917,-3.4833,False,False
外部需求 → 日本,jp_exp,T3,1,6,6,0.0019,0.4669,-0.5162,0.2703,-3.1037,0.7276,True,False
外部需求 → 日本,jp_exp,T3,3,1,0,0.089,0.0018,-0.0761,0.3141,-1.7006,3.1281,False,False
外部需求 → 日本,jp_exp,T3,3,1,3,0.4122,0.0042,0.0396,-0.2136,0.82,-2.8649,False,False
外部需求 → 日本,jp_exp,T3,3,1,6,0.3039,0.3386,-0.0432,-0.0637,-1.0282,-0.957,False,False
外部需求 → 日本,jp_exp,T3,3,3,0,0.7038,0.1076,-0.0618,0.241,-0.3801,1.6092,False,False
外部需求 → 日本,jp_exp,T3,3,3,3,0.0956,0.0005,0.1144,-0.4464,1.6665,-3.4815,False,False
外部需求 → 日本,jp_exp,T3,3,3,6,0.0192,0.917,-0.192,0.014,-2.3419,0.1042,False,False
外部需求 → 日本,jp_exp,T3,3,6,0,0.7561,0.3105,0.0578,-0.1997,0.3106,-1.0141,False,False
外部需求 → 日本,jp_exp,T3,3,6,3,0.3295,0.0081,-0.0679,-0.4374,-0.9752,-2.6488,False,False
外部需求 → 日本,jp_exp,T3,3,6,6,0.0025,0.7429,-0.3698,0.0937,-3.0282,0.328,True,False
外部需求 → 日本,jp_exp,T3,6,1,0,0.6184,0.4046,-0.0178,0.0508,-0.4981,0.8335,False,False
外部需求 → 日本,jp_exp,T3,6,1,3,0.8873,0.0078,-0.0026,-0.154,-0.1418,-2.66,False,False
外部需求 → 日本,jp_exp,T3,6,1,6,0.0305,0.4386,-0.0494,0.0461,-2.1633,0.7745,False,False
外部需求 → 日本,jp_exp,T3,6,3,0,0.9082,0.327,0.0106,-0.1119,0.1153,-0.9801,False,False
外部需求 → 日本,jp_exp,T3,6,3,3,0.4203,0.0083,-0.0337,-0.2409,-0.8058,-2.6407,False,False
外部需求 → 日本,jp_exp,T3,6,3,6,0.009,0.8053,-0.1522,0.0331,-2.6102,0.2465,False,False
外部需求 → 日本,jp_exp,T3,6,6,0,0.8044,0.0341,-0.0171,-0.3578,-0.2476,-2.1185,False,False
外部需求 → 日本,jp_exp,T3,6,6,3,0.015,0.2753,-0.1816,-0.1961,-2.4317,-1.0908,False,False
外部需求 → 日本,jp_exp,T3,6,6,6,0.0349,0.9268,-0.1919,-0.0181,-2.1093,-0.0918,False,False
外部需求 → 日本,jp_exp,T4,1,1,0,0.8825,0.3958,-0.018,0.0758,-0.1478,0.8491,False,False
外部需求 → 日本,jp_exp,T4,1,1,3,0.8744,0.2182,-0.0122,-0.0866,-0.158,-1.2314,False,False
外部需求 → 日本,jp_exp,T4,1,1,6,0.0975,0.0309,0.1096,-0.1646,1.6572,-2.1584,False,False
外部需求 → 日本,jp_exp,T4,1,3,0,0.4883,0.0021,0.1661,0.4122,0.6931,3.0784,False,False
外部需求 → 日本,jp_exp,T4,1,3,3,0.884,0.181,0.0235,-0.2169,0.1459,-1.3376,False,False
外部需求 → 日本,jp_exp,T4,1,3,6,0.9705,0.2179,0.0042,-0.1473,0.037,-1.2321,False,False
外部需求 → 日本,jp_exp,T4,1,6,0,0.5397,0.5509,0.192,0.1126,0.6133,0.5964,False,False
外部需求 → 日本,jp_exp,T4,1,6,3,0.8925,0.0056,0.0267,-0.3484,0.1352,-2.7684,False,False
外部需求 → 日本,jp_exp,T4,1,6,6,0.0382,0.5679,-0.4121,-0.0763,-2.0724,-0.5712,False,False
外部需求 → 日本,jp_exp,T4,3,1,0,0.5813,0.0041,0.0356,0.138,0.5516,2.8721,False,False
外部需求 → 日本,jp_exp,T4,3,1,3,0.8507,0.0732,0.0072,-0.0868,0.1883,-1.7914,False,False
外部需求 → 日本,jp_exp,T4,3,1,6,0.8254,0.2524,0.0062,-0.0518,0.2205,-1.1444,False,False
外部需求 → 日本,jp_exp,T4,3,3,0,0.6215,0.0208,0.07,0.1845,0.4938,2.312,False,False
外部需求 → 日本,jp_exp,T4,3,3,3,0.3024,0.0388,0.0989,-0.2406,1.0314,-2.0663,False,False
外部需求 → 日本,jp_exp,T4,3,3,6,0.0401,0.2082,-0.1517,-0.0788,-2.0525,-1.2586,False,False
外部需求 → 日本,jp_exp,T4,3,6,0,0.3717,0.5616,0.1693,-0.0725,0.8932,-0.5805,False,False
外部需求 → 日本,jp_exp,T4,3,6,3,0.5822,0.0041,-0.0535,-0.3182,-0.5502,-2.8674,False,False
外部需求 → 日本,jp_exp,T4,3,6,6,0.0241,0.7809,-0.3203,-0.0299,-2.256,-0.2782,False,False
外部需求 → 日本,jp_exp,T4,6,1,0,0.803,0.2748,0.0087,0.03,0.2494,1.092,False,False
外部需求 → 日本,jp_exp,T4,6,1,3,0.726,0.0624,0.0072,-0.0794,0.3505,-1.8632,False,False
外部需求 → 日本,jp_exp,T4,6,1,6,0.1033,0.2232,-0.0387,-0.0237,-1.629,-1.2181,False,False
外部需求 → 日本,jp_exp,T4,6,3,0,0.5199,0.5481,0.0556,-0.0307,0.6434,-0.6006,False,False
外部需求 → 日本,jp_exp,T4,6,3,3,0.6642,0.0208,-0.0173,-0.1886,-0.4342,-2.3113,False,False
外部需求 → 日本,jp_exp,T4,6,3,6,0.0384,0.7306,-0.1387,-0.0183,-2.0702,-0.3444,False,False
外部需求 → 日本,jp_exp,T4,6,6,0,0.6701,0.025,0.038,-0.2303,0.426,-2.2409,False,False
外部需求 → 日本,jp_exp,T4,6,6,3,0.0552,0.0293,-0.1574,-0.2031,-1.9174,-2.1794,False,False
外部需求 → 日本,jp_exp,T4,6,6,6,0.2267,0.5115,-0.1435,-0.0494,-1.2089,-0.6565,False,False
外部需求 → 日本,jp_exp,T5,1,1,0,0.4221,0.889,0.0672,0.0139,0.8028,0.1396,False,False
外部需求 → 日本,jp_exp,T5,1,1,3,0.5449,0.4487,0.0519,-0.0848,0.6055,-0.7576,False,False
外部需求 → 日本,jp_exp,T5,1,1,6,0.3159,0.8249,-0.0701,0.0208,-1.0028,0.2213,False,False
