family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
主题 → 行业 / 主题,th:T1,T3,6,3,3,0.027,0.5272,0.105,0.1056,2.2114,0.6323,False,False
主题 → 行业 / 主题,th:T1,T3,6,3,6,0.569,0.7441,0.0201,0.0579,0.5695,0.3264,False,False
主题 → 行业 / 主题,th:T1,T3,6,6,0,0.0117,0.3513,0.1623,0.2324,2.5205,0.9321,False,False
主题 → 行业 / 主题,th:T1,T3,6,6,3,0.0268,0.5902,0.1215,0.1681,2.2139,0.5385,False,False
主题 → 行业 / 主题,th:T1,T3,6,6,6,0.3166,0.8116,0.0437,0.0825,1.0014,0.2384,False,False
主题 → 行业 / 主题,th:T1,T4,1,1,0,0.3317,0.8902,0.0554,-0.0086,0.9706,-0.138,False,False
主题 → 行业 / 主题,th:T1,T4,1,1,3,0.7341,0.9849,0.0197,-0.0011,0.3397,-0.0189,False,False
主题 → 行业 / 主题,th:T1,T4,1,1,6,0.8997,0.5098,-0.0061,-0.043,-0.1261,-0.6592,False,False
主题 → 行业 / 主题,th:T1,T4,1,3,0,0.6635,0.711,0.0424,0.0443,0.435,0.3705,False,False
主题 → 行业 / 主题,th:T1,T4,1,3,3,0.0788,0.9688,0.1483,-0.0042,1.7576,-0.0391,False,False
主题 → 行业 / 主题,th:T1,T4,1,3,6,0.9123,0.5717,-0.0103,0.076,-0.1102,0.5655,False,False
主题 → 行业 / 主题,th:T1,T4,1,6,0,0.074,0.8069,0.1861,-0.042,1.7869,-0.2444,False,False
主题 → 行业 / 主题,th:T1,T4,1,6,3,0.1511,0.542,0.14,0.1011,1.4357,0.6099,False,False
主题 → 行业 / 主题,th:T1,T4,1,6,6,0.2205,0.7675,-0.1492,0.0494,-1.2251,0.2956,False,False
主题 → 行业 / 主题,th:T1,T4,3,1,0,0.4294,0.8397,0.0208,0.0069,0.7901,0.2023,False,False
主题 → 行业 / 主题,th:T1,T4,3,1,3,0.1206,0.957,0.0457,-0.0017,1.5524,-0.0539,False,False
主题 → 行业 / 主题,th:T1,T4,3,1,6,0.9944,0.5011,-0.0002,0.0226,-0.0071,0.6728,False,False
主题 → 行业 / 主题,th:T1,T4,3,3,0,0.8473,0.6216,0.0115,-0.0403,0.1926,-0.4936,False,False
主题 → 行业 / 主题,th:T1,T4,3,3,3,0.0202,0.8393,0.1113,0.0201,2.3234,0.2028,False,False
主题 → 行业 / 主题,th:T1,T4,3,3,6,0.4633,0.2314,-0.0535,0.1044,-0.7334,1.1967,False,False
主题 → 行业 / 主题,th:T1,T4,3,6,0,0.0234,0.7104,0.1206,-0.049,2.2671,-0.3714,False,False
主题 → 行业 / 主题,th:T1,T4,3,6,3,0.5051,0.4928,0.055,0.1048,0.6664,0.6859,False,False
主题 → 行业 / 主题,th:T1,T4,3,6,6,0.0911,0.704,-0.1499,0.0534,-1.6897,0.3799,False,False
主题 → 行业 / 主题,th:T1,T4,6,1,0,0.051,0.9407,0.0308,-0.0021,1.9518,-0.0744,False,False
主题 → 行业 / 主题,th:T1,T4,6,1,3,0.214,0.5879,0.0201,0.0137,1.2426,0.5418,False,False
主题 → 行业 / 主题,th:T1,T4,6,1,6,0.3093,0.9961,-0.0183,-0.0001,-1.0168,-0.0049,False,False
主题 → 行业 / 主题,th:T1,T4,6,3,0,0.0581,0.8046,0.0603,-0.0175,1.895,-0.2475,False,False
主题 → 行业 / 主题,th:T1,T4,6,3,3,0.5124,0.425,0.0274,0.0622,0.6552,0.7978,False,False
主题 → 行业 / 主题,th:T1,T4,6,3,6,0.1269,0.7978,-0.0649,0.0195,-1.5263,0.2561,False,False
主题 → 行业 / 主题,th:T1,T4,6,6,0,0.0433,0.8472,0.0854,0.0204,2.0205,0.1927,False,False
主题 → 行业 / 主题,th:T1,T4,6,6,3,0.5089,0.6008,-0.0403,0.0713,-0.6605,0.5233,False,False
主题 → 行业 / 主题,th:T1,T4,6,6,6,0.566,0.8911,-0.0399,0.0168,-0.574,0.1369,False,False
主题 → 行业 / 主题,th:T1,T5,1,1,0,0.1011,0.7559,0.0721,0.0264,1.6395,0.3109,False,False
主题 → 行业 / 主题,th:T1,T5,1,1,3,0.4761,0.7208,-0.0333,-0.0284,-0.7127,-0.3574,False,False
主题 → 行业 / 主题,th:T1,T5,1,1,6,0.7849,0.1809,0.0138,0.1048,0.273,1.3381,False,False
主题 → 行业 / 主题,th:T1,T5,1,3,0,0.2523,0.0639,0.0818,0.2151,1.1447,1.8527,False,False
主题 → 行业 / 主题,th:T1,T5,1,3,3,0.714,0.5328,-0.0277,-0.0777,-0.3665,-0.6237,False,False
主题 → 行业 / 主题,th:T1,T5,1,3,6,0.9015,0.3336,0.0096,-0.1215,0.1238,-0.967,False,False
主题 → 行业 / 主题,th:T1,T5,1,6,0,0.4586,0.7132,0.071,0.0561,0.7411,0.3675,False,False
主题 → 行业 / 主题,th:T1,T5,1,6,3,0.95,0.315,-0.0088,-0.1748,-0.0627,-1.0048,False,False
主题 → 行业 / 主题,th:T1,T5,1,6,6,0.949,0.8064,0.0075,0.0477,0.0639,0.2451,False,False
主题 → 行业 / 主题,th:T1,T5,3,1,0,0.2669,0.1417,0.0214,0.0549,1.1102,1.4694,False,False
主题 → 行业 / 主题,th:T1,T5,3,1,3,0.9836,0.3792,0.0005,-0.0328,0.0205,-0.8793,False,False
主题 → 行业 / 主题,th:T1,T5,3,1,6,0.8182,0.6822,0.0059,-0.0173,0.2299,-0.4095,False,False
主题 → 行业 / 主题,th:T1,T5,3,3,0,0.8439,0.5702,0.008,0.0443,0.1969,0.5678,False,False
主题 → 行业 / 主题,th:T1,T5,3,3,3,0.7985,0.5648,-0.0146,0.0445,-0.2553,0.5757,False,False
主题 → 行业 / 主题,th:T1,T5,3,3,6,0.5322,0.5165,0.036,-0.0659,0.6246,-0.6487,False,False
主题 → 行业 / 主题,th:T1,T5,3,6,0,0.9798,0.6148,0.0023,0.0619,0.0253,0.5033,False,False
主题 → 行业 / 主题,th:T1,T5,3,6,3,0.7801,0.7332,0.032,-0.0407,0.2792,-0.3409,False,False
主题 → 行业 / 主题,th:T1,T5,3,6,6,0.6756,0.9836,0.03,-0.0033,0.4185,-0.0206,False,False
主题 → 行业 / 主题,th:T1,T5,6,1,0,0.4209,0.4357,0.0093,0.0165,0.8049,0.7796,False,False
主题 → 行业 / 主题,th:T1,T5,6,1,3,0.9674,0.3722,-0.0008,-0.0242,-0.0409,-0.8923,False,False
主题 → 行业 / 主题,th:T1,T5,6,1,6,0.8664,0.6385,0.0027,0.0151,0.1683,0.4698,False,False
主题 → 行业 / 主题,th:T1,T5,6,3,0,0.8768,0.3779,-0.0056,0.052,-0.1551,0.8817,False,False
主题 → 行业 / 主题,th:T1,T5,6,3,3,0.7921,0.7705,0.0137,-0.0198,0.2635,-0.2917,False,False
主题 → 行业 / 主题,th:T1,T5,6,3,6,0.5964,0.9687,0.0179,-0.0031,0.5296,-0.0392,False,False
主题 → 行业 / 主题,th:T1,T5,6,6,0,0.8428,0.9203,0.0169,0.0101,0.1984,0.1001,False,False
主题 → 行业 / 主题,th:T1,T5,6,6,3,0.6444,0.8324,0.0341,-0.0279,0.4616,-0.2116,False,False
主题 → 行业 / 主题,th:T1,T5,6,6,6,0.6051,0.1577,0.0227,0.1486,0.5171,1.4129,False,False
主题 → 行业 / 主题,th:T1,T6,1,1,0,0.0018,0.7118,0.1825,0.0254,3.1187,0.3694,False,False
主题 → 行业 / 主题,th:T1,T6,1,1,3,0.6647,0.8826,0.0258,0.0097,0.4335,0.1477,False,False
主题 → 行业 / 主题,th:T1,T6,1,1,6,0.2138,0.9483,0.0754,-0.0043,1.2433,-0.0648,False,False
主题 → 行业 / 主题,th:T1,T6,1,3,0,0.0081,0.6626,0.3201,0.0458,2.6465,0.4363,False,False
主题 → 行业 / 主题,th:T1,T6,1,3,3,0.8477,0.9276,-0.0222,-0.0105,-0.192,-0.0909,False,False
主题 → 行业 / 主题,th:T1,T6,1,3,6,0.4101,0.2125,0.0955,-0.1299,0.8237,-1.2467,False,False
主题 → 行业 / 主题,th:T1,T6,1,6,0,0.073,0.8672,0.2968,-0.0264,1.793,-0.1673,False,False
主题 → 行业 / 主题,th:T1,T6,1,6,3,0.7087,0.4582,0.0673,-0.1258,0.3736,-0.7419,False,False
主题 → 行业 / 主题,th:T1,T6,1,6,6,0.4481,0.4025,0.1531,-0.1534,0.7585,-0.8371,False,False
主题 → 行业 / 主题,th:T1,T6,3,1,0,0.0004,0.5761,0.0993,0.0178,3.5278,0.5591,True,False
主题 → 行业 / 主题,th:T1,T6,3,1,3,0.8162,0.7601,-0.0078,-0.011,-0.2325,-0.3053,False,False
主题 → 行业 / 主题,th:T1,T6,3,1,6,0.4877,0.3683,0.0272,-0.0317,0.6939,-0.8996,False,False
主题 → 行业 / 主题,th:T1,T6,3,3,0,0.0192,0.7861,0.172,0.023,2.3413,0.2714,False,False
主题 → 行业 / 主题,th:T1,T6,3,3,3,0.9078,0.8995,-0.0098,-0.0104,-0.1158,-0.1263,False,False
主题 → 行业 / 主题,th:T1,T6,3,3,6,0.2913,0.1802,0.1167,-0.107,1.0553,-1.3403,False,False
主题 → 行业 / 主题,th:T1,T6,3,6,0,0.0708,0.9617,0.1574,-0.0067,1.8066,-0.0481,False,False
主题 → 行业 / 主题,th:T1,T6,3,6,3,0.6014,0.3685,0.0998,-0.1284,0.5224,-0.8994,False,False
主题 → 行业 / 主题,th:T1,T6,3,6,6,0.5453,0.5772,0.0913,-0.0891,0.6049,-0.5574,False,False
主题 → 行业 / 主题,th:T1,T6,6,1,0,0.0221,0.848,0.0432,0.005,2.2893,0.1917,False,False
主题 → 行业 / 主题,th:T1,T6,6,1,3,0.7977,0.5269,0.0072,-0.0186,0.2564,-0.6327,False,False
主题 → 行业 / 主题,th:T1,T6,6,1,6,0.5554,0.3024,0.0155,-0.0284,0.5897,-1.0313,False,False
主题 → 行业 / 主题,th:T1,T6,6,3,0,0.1484,0.9185,0.0759,0.0068,1.4451,0.1023,False,False
主题 → 行业 / 主题,th:T1,T6,6,3,3,0.5644,0.3793,0.0502,-0.0652,0.5763,-0.8791,False,False
主题 → 行业 / 主题,th:T1,T6,6,3,6,0.4865,0.396,0.0448,-0.0661,0.6958,-0.8487,False,False
主题 → 行业 / 主题,th:T1,T6,6,6,0,0.2908,0.5689,0.1211,-0.0732,1.0565,-0.5697,False,False
主题 → 行业 / 主题,th:T1,T6,6,6,3,0.4919,0.3996,0.0925,-0.1151,0.6874,-0.8423,False,False
主题 → 行业 / 主题,th:T1,T6,6,6,6,0.9928,0.9026,0.0008,0.0165,0.009,0.1223,False,False
