family,lead,target,w,tgt,half,slope,t,n,p,hit
JP→JP,医薬品,情報・通信業,1,1,H1,0.02643,2.26186,2454,0.02371,0.49674
JP→JP,医薬品,機械,1,1,H1,-0.04229,-3.39282,2454,0.00069,0.4947
JP→JP,医薬品,水産・農林業,1,1,H1,0.01014,0.46378,2454,0.64281,0.51263
JP→JP,医薬品,海運業,1,1,H1,-0.01989,-0.57423,2454,0.56581,0.50733
JP→JP,医薬品,石油・石炭製品,1,1,H1,0.06393,2.05101,2454,0.04027,0.51345
JP→JP,医薬品,精密機器,1,1,H1,0.0162,1.39962,2454,0.16163,0.50856
JP→JP,医薬品,繊維製品,1,1,H1,-0.00514,-0.35967,2454,0.71909,0.48778
JP→JP,医薬品,証券、商品先物取引業,1,1,H1,0.00436,0.18494,2454,0.85328,0.50652
JP→JP,医薬品,輸送用機器,1,1,H1,-0.04386,-2.34614,2454,0.01897,0.48737
JP→JP,医薬品,金属製品,1,1,H1,-0.0147,-1.22941,2454,0.21892,0.47963
JP→JP,医薬品,鉄鋼,1,1,H1,-0.03789,-1.64582,2454,0.0998,0.51385
JP→JP,医薬品,鉱業,1,1,H1,-0.03201,-1.13227,2454,0.25752,0.49267
