target,combo,k,signs,disc_auc,val_auc,val_ba,p,g1,g2,g3
T1_breakout,M3 + E1 + S07,3,−−−,0.5559,0.4929,0.4875,0.4631,False,False,False
T1_breakout,M3 + E1 + S08,3,−−−,0.5608,0.478,0.4977,0.5844,False,False,False
T1_breakout,M3 + E1 + S09,3,−−−,0.5976,0.5076,0.5023,0.3506,False,True,False
T1_breakout,M3 + E1 + S10,3,−−−,0.6085,0.5355,0.5075,0.1774,False,True,False
T1_breakout,M3 + E1 + S11,3,−−−,0.585,0.5406,0.5127,0.1535,False,True,False
T1_breakout,M3 + E1 + S12,3,−−+,0.5625,0.5198,0.5054,0.2663,False,True,False
T1_breakout,M3 + E1 + S13,3,−−+,0.6071,0.5046,0.4886,0.3719,False,True,False
T1_breakout,M3 + E1 + S14,3,−−+,0.582,0.5742,0.5573,0.051,False,True,True
T1_breakout,M3 + E1 + S15,3,−−−,0.5631,0.5342,0.4971,0.1836,False,True,False
T1_breakout,M3 + E1 + E5,3,−−+,,0.493,,0.4617,False,False,False
T1_breakout,M3 + E1 + S16,3,−−+,0.5808,0.5124,0.5173,0.3157,False,True,False
T1_breakout,M3 + E2 + E3,3,−−−,0.6101,0.4925,0.5095,0.4664,False,False,False
T1_breakout,M3 + E2 + E4,3,−−+,0.5869,0.4574,0.4388,0.7402,False,False,False
T1_breakout,M3 + E2 + H1,3,−−−,0.5557,0.4553,0.4488,0.7546,False,False,False
T1_breakout,M3 + E2 + S01,3,−−+,0.6332,0.4931,0.471,0.4608,False,False,False
T1_breakout,M3 + E2 + S02,3,−−−,0.5837,0.4332,0.4542,0.8728,False,False,False
T1_breakout,M3 + E2 + S03,3,−−+,0.6113,0.5127,0.4901,0.3136,False,True,False
T1_breakout,M3 + E2 + S04,3,−−−,0.6089,0.4806,0.5042,0.5637,False,False,False
T1_breakout,M3 + E2 + S05,3,−−+,0.6569,0.4446,0.4679,0.8181,False,False,False
T1_breakout,M3 + E2 + S06,3,−−+,0.6129,0.5143,0.5116,0.3024,False,True,False
T1_breakout,M3 + E2 + S07,3,−−−,0.5573,0.4414,0.4731,0.835,False,False,False
T1_breakout,M3 + E2 + S08,3,−−−,0.5779,0.4336,0.4665,0.8713,False,False,False
T1_breakout,M3 + E2 + S09,3,−−−,0.6047,0.4577,0.464,0.7382,False,False,False
T1_breakout,M3 + E2 + S10,3,−−−,0.5833,0.4691,0.4535,0.6548,False,False,False
T1_breakout,M3 + E2 + S11,3,−−−,0.6041,0.4892,0.5278,0.4928,False,False,False
T1_breakout,M3 + E2 + S12,3,−−+,0.5701,0.4656,0.5172,0.6814,False,False,False
T1_breakout,M3 + E2 + S13,3,−−+,0.6032,0.459,0.4702,0.729,False,False,False
T1_breakout,M3 + E2 + S14,3,−−+,0.5859,0.5383,0.5032,0.1636,False,True,False
T1_breakout,M3 + E2 + S15,3,−−−,0.5965,0.4878,0.5071,0.5047,False,False,False
T1_breakout,M3 + E2 + E5,3,−−+,,0.5363,,0.1733,False,False,False
T1_breakout,M3 + E2 + S16,3,−−+,0.5696,0.4484,0.432,0.7973,False,False,False
T1_breakout,M3 + E3 + E4,3,−−+,0.6053,0.5978,0.513,0.0207,False,True,True
T1_breakout,M3 + E3 + H1,3,−−−,0.5531,0.5852,0.5188,0.0338,False,True,True
T1_breakout,M3 + E3 + S01,3,−−+,0.5858,0.5881,0.5426,0.0302,False,True,True
T1_breakout,M3 + E3 + S02,3,−−−,0.555,0.5145,0.4762,0.301,False,True,False
T1_breakout,M3 + E3 + S03,3,−−+,0.5739,0.5929,0.5533,0.025,False,True,True
T1_breakout,M3 + E3 + S04,3,−−−,0.575,0.5643,0.5596,0.0725,False,True,True
T1_breakout,M3 + E3 + S05,3,−−+,0.5942,0.5301,0.531,0.2052,False,True,False
T1_breakout,M3 + E3 + S06,3,−−+,0.5817,0.6115,0.5553,0.012,False,True,True
T1_breakout,M3 + E3 + S07,3,−−−,0.5186,0.5319,0.5193,0.1955,False,True,False
T1_breakout,M3 + E3 + S08,3,−−−,0.5219,0.5288,0.5289,0.2126,False,True,False
T1_breakout,M3 + E3 + S09,3,−−−,0.5366,0.5357,0.5221,0.1763,False,True,False
T1_breakout,M3 + E3 + S10,3,−−−,0.5642,0.5759,0.5618,0.048,False,True,True
T1_breakout,M3 + E3 + S11,3,−−−,0.5313,0.571,0.5485,0.0573,False,True,True
T1_breakout,M3 + E3 + S12,3,−−+,0.525,0.5505,0.5724,0.1139,False,True,True
T1_breakout,M3 + E3 + S13,3,−−+,0.5462,0.5502,0.5132,0.1148,False,True,True
T1_breakout,M3 + E3 + S14,3,−−+,0.5514,0.6219,0.578,0.0082,False,True,True
